id,averageRating,reviewsNum,name,coords/0,coords/1
1086034794,4.3,4707,Марьинский пассаж,55.652255,37.742069
101419209791,4.6,1434,Пятницкий Митино,55.85722,37.350283
18069606993,3.4,16,Триумф,55.870023,37.533884
42578408182,4.6,2368,Волгоградский,55.702148,37.795706
1376931514,4.2,279,Любимый,55.691482,37.486828
218974071549,4.3,2387,Наш,55.890269,37.588024
1072432761,5,78794,Красный кит,55.916692,37.758816
153272678561,4.4,858,Савёловский Спортивный,55.796844,37.593874
1676007552,4.2,1544,Дирижабль,55.665958,37.549025
1080599766,4.4,6594,Северное Сияние,55.574945,37.580232
176299533868,4.2,504,Авиатор,55.827318,37.444858
1122858032,4.3,2146,Западный,55.755482,37.402729
1028705527,4,1243,Владыкино,55.848607,37.590768
1124945076,3.8,420,Радуга,55.738487,37.666676
1040250993,3.9,548,Престиж-М,55.790304,37.679812
1179049803,4.2,1813,Миг,55.739984,37.861062
204225475823,4.9,26720,Выходной,55.685291,37.877769
1056396222,4.3,1896,Петровский,55.717444,37.413876
3526886323,4.2,7391,Парус,55.88504,37.407274
1089915390,4.4,2523,Ленинский 101,55.666654,37.515521
1082364508,4.1,962,Гран плюс,55.894005,37.617286
1119831968,4.2,1988,Арколь,55.767464,37.72925
1084221101,4.2,511,Любимый,55.70096,37.503485
1323776061,4.4,3084,МЦ,55.640223,37.532962
114847291998,4.6,5638,"Садовод, корпус А",55.652786,37.829148
61948663473,4.2,1763,Салют,55.653493,37.822316
1138173409,4.2,2914,Люблинский пассаж,55.67705,37.764863
1256010306,4.4,11156,Перловский,55.891917,37.727273
1322757089,4.2,4475,Конфетти,55.678863,37.642708
68577522226,4.1,511,Лайм,55.810144,37.779091
145519145649,4.1,327,Депо Молл,55.819272,37.577616
1004193730,4.1,449,Пятницкий,55.74336,37.629504
78698673899,4.3,845,Павелецкий,55.712691,37.645615
1059231340,4.1,1075,Премьер,55.674495,37.504609
240187602905,4.9,11664,СпортХит,55.70587,37.404316
1041332612,4,836,Русское раздолье,55.79012,37.678497
71052159978,4.4,2160,Место встречи Бирюсинка,55.579639,37.649006
1180178189,4.3,3734,У Речного,55.855611,37.47699
1165426191,4.3,1706,Ваш Дом,55.748977,37.771719
1171123124,4.2,1104,Затонка,55.679243,37.687662
1072313657,4.5,4077,МовТрейд,55.646571,37.715592
185007908535,4.6,125,Зёрнышко,55.666029,37.786155
221428516897,4.3,1010,Бусиново,55.881743,37.488798
126548460372,4.3,2812,Дропин,55.636167,37.521033
1197890979,4.8,8468,СпортЕХ,55.738147,37.717558
1687701936,4.3,837,Бенефис,55.806663,37.406247
1007160335,3.9,1550,Щелчок,55.810592,37.797752
1073627438,4.3,1221,Торговый дом,55.823255,37.756794
1165609214,4.1,1523,Камп,55.870456,37.663167
160302360088,4.7,15263,ЦДиИ Экспострой,55.671693,37.584205
1130762674,5,81930,Outlet Village Белая Дача,55.660941,37.879708
95629958321,4.9,6384,Столица,55.604597,37.356891
104421477126,4.7,5182,Солнцево парк,55.625807,37.306362
33845655648,4.2,2623,Корабль,55.71014,37.620446
239047090802,4.4,3648,Пролетарский,55.630712,37.658526
121451897973,5,16921,Отрада,55.875479,37.332171
142756307895,4.3,1238,Лианозово,55.897421,37.554089
1031523523,4.1,1944,Крона,55.840872,37.48725
1018844297,4,452,Европа,55.739801,37.665867
100493331493,4.4,759,Китайский павильон,55.835874,37.625923
82424611421,4.1,145,Аструм,55.718396,37.676714
11535489203,5,9132,Мега,55.657746,37.843373
1041564044,4.3,3621,Тук-Тук,55.705347,37.479101
1040025854,4.3,899,Вавилон-92,55.86969,37.63722
1106016536,3.8,777,РТС,55.755556,37.68134
236776270056,4.7,196,Neva Towers,55.751611,37.534528
1171311677,4.9,35524,Реутов Парк,55.75219,37.887664
90093452064,4.3,1551,Невский Причал,55.835671,37.490487
1290437170,4.2,1379,Лучик,55.857413,37.58322
1803825703,3.4,373,Торговый центр,55.594336,37.605705
1726465711,3.9,636,Ноев ковчег,55.833833,37.523299
1236202953,4,1093,Вектор,55.809278,37.79836
1305086043,4.1,839,Нахимовский,55.668587,37.591666
33920496024,4.2,522,Торговый центр,55.635936,37.67278
37829998644,4.8,571,ТЦ Рублево,55.787841,37.355608
242766278588,4.3,1120,Шоколад,55.644335,37.520738
151969294997,4.4,3651,Автомобили,55.705611,37.689474
99432903874,4.4,633,Торговый центр,55.71216,37.895324
231461827596,4.2,1175,Фили,55.763915,37.487384
1216153061,4.9,29043,Fashion House,55.980198,37.303797
1039999460,4.4,366,Перерва,55.654157,37.716405
231769520257,4.1,734,Волна,55.745263,37.879902
1044938154,4,380,Галла,55.787112,37.674826
148505923100,4.3,548,Михалковский,55.837393,37.537376
1114544087,4.3,1513,Торговый центр Шолохов,55.636803,37.354485
1059501464,4.1,655,Торговый центр на Озёрной,55.672979,37.451162
104059948900,4.2,382,Енисей,55.860015,37.659212
1148057153,4.6,9736,Конфитюр,55.931236,37.494493
68284085683,4.4,483,Baby&Kid,55.78428,37.715052
1026931892,4.3,1456,Отрадное,55.865297,37.604404
103626152772,4.2,1110,Конкорд Маркет,55.723487,37.61032
66921577285,4.5,31,Волна,55.560328,37.80586
235447864873,4.4,2647,Радиокомплекс Южный,55.620366,37.608866
173625065492,3.2,193,На Ивантеевской,55.814084,37.733531
1094739637,4.3,1029,Дудинка,55.861976,37.687674
1265823363,4.3,2944,Армадахоум,55.614324,37.606623
171510470160,4.4,370,Торговый центр Тихорецкий бульвар,55.679106,37.776346
1000345899,4.2,1064,Автозаводский,55.708517,37.656653
1099635963,4.1,1030,Персей,55.842574,37.484174
1382686474,4.6,12244,Экватор,55.751789,37.859451
1061416589,4.5,12205,Гранд Юг,55.609534,37.604999
1764780947,3.9,586,Ярославчик,55.878994,37.720333
1733662553,4.2,665,Лось,55.880402,37.708809
235594594549,4.3,349,Аннино,55.588473,37.600671
1398910467,4.9,6841,Гипермаркет Говорово,55.658851,37.430204
1088314095,4,221,Новый,55.777602,37.516904
1699067750,3.7,297,Торговый центр,55.582045,37.661456
185328894702,3.7,251,Октябрьский,55.792685,37.494048
1091716672,4.4,14785,Вэйпарк,55.85932,37.39542
36544352677,4.7,206,Капитолий,55.621409,37.713962
120659265081,4.3,631,ТЦ Московский,55.606701,37.351694
171692015849,5,5224,Грант,55.674565,37.861224
1770438258,4.6,10532,4Daily,55.921266,37.719224
85094954815,4.4,1180,Бута Парк,55.669979,37.763591
1217781055,4.2,3138,Твин Плаза,55.617797,37.505757
196935405338,4.9,5676,Город,55.93621,37.492916
49724037255,4.3,258,Торговый центр,55.642766,37.540493
106103842093,4.3,13,Ассортида,55.645812,37.720645
1256925303,3.9,874,Олимп,55.751349,37.81625
89204366627,4.1,143,Москва,55.596297,37.468085
45719825865,4.1,269,Звезда,55.883977,37.666835
1022649138,4.2,1715,Арфа,55.894472,37.588206
1274659372,4.4,2919,Восточный ветер,55.809197,37.841212
1105267235,4.1,400,ТЦ Чертановская 30,55.620235,37.588895
1104252867,4.7,6362,Гренада,55.669921,37.871289
170974433604,4.7,413,Галерея Новые Вешки,55.925574,37.601784
230817013547,4.1,512,Лабиринт,55.636224,37.511264
1068450205,4.1,335,Меркурий,55.751924,37.812842
218073564346,4.4,70,Тбилиси,55.67174,37.569916
230831317836,4,11,Level Причальный,55.759981,37.517415
1114351505,4.1,589,Место встречи Саяны,55.768364,37.832779
1091159741,4.1,376,Московские товары,55.78509,37.718703
1701841705,4.1,777,Нагатинский,55.682195,37.651776
52386322450,4.5,257,Центральный,55.933636,37.493295
65780993579,4,2412,Гвоздь-2,55.675929,37.662225
112727639494,4.2,141,Фиеста,55.933384,37.556504
1236185405,4.2,618,Лефортовский стройцентр,55.747822,37.71645
204266565972,4.3,940,Моя Ветка,55.735864,37.830034
42200571518,4.2,216,Торговый центр,55.545451,37.55623
189887696609,4.8,2396,Каштановая роща,56.055794,37.531309
113240606797,4,109,Ochakovskiy Mall,55.669249,37.447799
148861376734,4.2,703,Сфера,55.816524,37.460272
1368708577,3.7,221,Ангар,55.71954,37.628103
1013946668,4.1,972,Обувь-Сити,55.678023,37.507428
80237883662,4.2,232,Утёсов,55.7685,37.494274
4970871984,4,62,Галерея,55.635071,37.332134
219061721660,4.4,251,Пруды,55.635011,37.73642
1011725681,4,840,Торговый центр Зелёный проспект,55.752073,37.816296
1141393821,4.6,19516,Июнь,55.819322,37.346513
68092894139,5,2103,Мебель Парк,55.633916,37.441017
1693826814,3.9,104,Торговый центр,55.511322,37.573957
96520285777,4.3,758,Марка,55.879032,37.579491
1185871361,3.9,200,Северный,55.869604,37.507759
52973236856,4.2,466,Виктория,55.880605,37.712929
56679230527,4.5,518,Ясный,55.599025,37.726046
4871817042,4.1,284,Мост,55.708212,37.730657
1677641459,3.9,123,Аркада,55.784225,37.721651
1002809896,4.1,766,Большая Медведица,55.893757,37.662582
1753751496,4.6,7763,Поворот,56.008411,37.440064
29469772692,4.4,248,Passage,55.762453,37.619839
146446870223,4.1,57,Мультисервис,55.735629,37.5216
179479731280,4.4,139,Марсаков,55.806499,37.584998
1815036129,4.5,1047,Набережный,55.95815,37.445743
1771564413,4.4,3918,Квадрат,55.570031,37.580728
1254441052,4.2,624,Бульвар,55.757779,37.40905
237418175195,4.4,835,Мульти,55.879237,37.556759
176088575942,4.1,508,Кувшинка,55.671313,37.449684
1063711415,4.5,1907,Братеевский,55.637862,37.757582
103177112779,4.3,333,Смолл,55.622218,37.750864
73342208451,4,353,Бусинка,55.882935,37.495871
44015226829,4.3,116,Торговая галерея,55.71081,37.610603
197167007605,4.5,881,Коммунарка,55.567881,37.47776
1056280245,4.7,14214,Лига,55.888643,37.433753
200903081767,4.1,131,Торговый центр,55.658535,37.757416
69745309368,4.5,6970,Люблинское поле,55.678701,37.779719
197034420807,4.3,1030,Крылья,55.809686,37.460191
127304392383,4.3,193,Арус,55.536193,37.515375
1097912505,4.5,7225,Вертикаль,55.793713,37.938929
225334304034,3.8,106,Смолл,55.65408,37.647558
1050340949,4.3,1887,Ховринский Хозяин,55.861164,37.503033
89610173306,4.1,243,Купчино,55.826956,37.450268
1069677335,4.3,2238,Каспий,55.638957,37.604412
1117005556,4.1,529,Давыдково,55.735604,37.467863
22698850099,4,12,Новогиреевский,55.759417,37.795205
1159629229,4.3,2383,Курс,55.747295,37.862245
1100017757,3.6,263,Экватор,55.659662,37.747689
52617025701,4.9,290,ТЦ Горки,55.530235,37.8124
5403521082,4.2,71,Мебель,55.782472,37.702614
1171443771,4.3,255,Торговый центр,55.888186,37.438473
234647345287,4.1,76,Место встречи Первомайский,55.793605,37.805919
158500770941,3.2,88,Торговые ряды,55.784566,37.717752
176915481731,4.3,210,Спутник,55.807228,37.394529
1261615993,4.2,1949,Интер-север,55.854024,37.475937
1020577046,4.4,3470,Новые Химки,55.899182,37.409071
1030115756,4.1,807,Свод,55.640136,37.606522
225494312669,2.5,11,Комета,55.854219,37.620597
232985630483,4.4,518,Торговый центр,55.892686,37.599147
144656510161,4.6,238,Ривер-парк,55.940614,37.866734
32644378553,3.2,5,ТК Север,55.740168,37.573791
37319957594,3.6,127,Forum City,55.67751,37.509326
51776861526,4.5,433,Лухмановский,55.722181,37.905688
1710219530,4,521,Астория,55.69241,37.727586
113857972166,5,15897,Акварель,56.000561,37.88148
217019528504,3.3,7,Сбер Первый,55.738252,37.613449
25273717096,4.8,3724,Аструм,55.535705,37.640779
1119939719,4,587,Северная Европа,55.799581,37.407239
19671378901,4.3,508,Корабль,55.89004,37.388365
14670907869,3.9,3,Ассортида,55.851639,37.511615
191314483596,3.8,28,ТЦ Вегас,55.943739,37.345435
1747413594,3.9,443,Коломенский пассаж,55.680395,37.66313
18246927656,4,485,Ореховский,55.62239,37.701721
1386758773,4.2,296,А58,55.650226,37.469348
1002275095,4.3,1822,Дегунино,55.864829,37.572568
1521897701,3.9,497,Альтаир-1,55.714075,37.819614
144162099895,4,145,Хард-Вуд 99,55.811627,37.729327
199753143580,3.9,129,Август,55.870877,37.676603
179434209093,4.2,315,Премьера,55.662973,37.485663
178303290046,4.2,403,Море,55.677017,37.800274
1008389200,4.3,126,Ангара,55.675059,37.470618
148085205173,4.8,1206,Лайт Молл,55.962377,37.666138
22294550385,3.9,231,Торговый центр,55.599072,37.350201
1059692350,3.2,92,Торговые ряды Люблино,55.672964,37.738943
1264946451,4,622,Маяк,55.608475,37.579862
1277007781,4.3,1566,Каренфор,55.613445,37.606353
1126795691,4,724,Волна,55.821522,37.826535
